Codi_centre;Denominació_completa;Nom_naturalesa;Nom_municipi
08072103;Escola Bressol Mestre Jané;Públic;Sant Feliu de Codines
08072115;Escola Bressol Pessigolles;Privat;Terrassa
08072139;Escola Bressol Municipal El Petit Roure;Públic;Sant Fost de Campsentelles
08072164;LLI privada Petit Milú;Privat;Sant Cugat del Vallès
08072176;Institut del Ter;Públic;Manlleu
08072188;Institut Escola Sant Jordi;Públic;Navàs
08072191;Escola Bressol Municipal Aqüeducte;Públic;Barcelona
08072206;EB privada La Rotllana;Privat;La Roca del Vallès
08072255;Institut Premià de Mar;Públic;Premià de Mar
08072279;Esc. de Música Municipal de Calaf;Públic;Calaf
08072292;Institut Escola Turó de Roquetes;Públic;Barcelona
08072310;Institut Escola Rec Comtal;Públic;Barcelona
08072322;LLI privada Oikia;Privat;Barcelona
08072334;Llar d'infants d'Olvan;Públic;Olvan
08072346;Llar d'infants L'Espígol;Públic;Sant Pere de Ribes
08072371;Escola Bressol La Pitota;Públic;Prats de Lluçanès
08072383;Institut Domus d'Olivet;Públic;Canovelles
08072395;Escola Polinyà;Públic;Polinyà
08072401;Institut Torrent dels Alous;Públic;Rubí
08072413;Esc. de Música Municipal Pau Casals;Públic;Viladecavalls
08072425;LLI privada La Marieta;Privat;Sant Quirze del Vallès
08072437;Escola Bressol La Blaveta;Públic;El Prat de Llobregat
08072449;Escola Bressol del Barato;Públic;Vilassar de Mar
08072450;Escola Bressol El Gegant del Pi;Públic;Les Franqueses del Vallès
08072462;Escola Bressol La Casa de la Muntanya;Públic;L'Hospitalet de Llobregat
08072474;Cen.Sup.Disseny IED;Privat;Barcelona
08072486;Llar d'infants La Maduixa;Públic;Santa Coloma de Gramenet
08072498;Llar d'infants municipal Estel 2;Públic;Gironella
08072504;Escola Bressol Virolet;Públic;Badalona
08072541;Sant Cugat ESN;Privat;Sant Cugat del Vallès
08072553;Escola Bressol Municipal Mag Maginet;Públic;Cornellà de Llobregat
08072589;EOI Guinardó;Públic;Barcelona
08072590;EOI de Rubí;Públic;Rubí
08072607;EOI de Cornellà de Llobregat;Públic;Cornellà de Llobregat
08072619;EB privada Nemomarlin Turó Park;Privat;Barcelona
08072620;LLI privada Petit Nen Jesús de Praga;Privat;Badalona
08072632;Llar d'infants L'Ànec;Públic;Santa Coloma de Gramenet
08072644;Llar d'infants La Sargantana;Públic;Santa Coloma de Gramenet
08072668;Escola de Dansa Catalunya;Privat;L'Hospitalet de Llobregat
08072671;Escola Bressol Turonet;Públic;Cerdanyola del Vallès
08072681;Llar d'infants Sant Marc;Públic;Balsareny
08072693;Escola Bressol Municipal Can Caralleu;Públic;Barcelona
08072701;Escola Bressol Municipal Tres Turons;Públic;Barcelona
08072711;Escola Bressol Municipal Dolors Canals;Públic;Barcelona
08072723;Escola Bressol Municipal El Roure;Públic;Barcelona
08072735;Escola Bressol Municipal Diagonal Mar;Públic;Barcelona
08072747;Escola Bressol Municipal Puigmal;Públic;Barcelona
08072759;Escola Bressol El Gargot;Públic;Parets del Vallès
08072772;Waldorf;Privat;Vallgorguina
08072796;Liberi;Privat;Premià de Mar
08072802;LLI privada Els Petits Gegants;Privat;Sabadell
08072814;Escola Bressol Municipal L'Arbret de l'Eixample;Públic;Barcelona
08072826;Escola Bressol Municipal L'Estació;Públic;Barcelona
08072838;Escola Bressol Municipal Colometa;Públic;Barcelona
08072841;Llar d'infants Municipal Can Novell;Públic;Barcelona
08072851;Escola Bressol Municipal El Timbal;Públic;Barcelona
08072863;Llar d'infants Mare de Déu de Montserrat;Públic;Sant Cugat del Vallès
08072875;Escola Bressol El Roc Petit;Públic;Balenyà
08072887;Llar d'infants Nou Estel;Públic;Avinyó
08072899;Escola Bressol Municipal Margalló;Públic;Barcelona
08072905;Escola Bressol municipal Cobi;Públic;Barcelona
08072917;Escola Bressol Municipal El Petit Príncep;Públic;Barcelona
08072929;Escola Bressol Municipal Can Dragó;Públic;Barcelona
08072930;Escola Bressol Municipal Casa dels Nens;Públic;Barcelona
08072942;Escola Bressol Municipal Marina;Públic;Barcelona
08072954;Escola Bressol Municipal Júpiter;Públic;Barcelona
08072978;Institut Sunsi Móra;Públic;Canet de Mar
08073028;Institut de Sant Pol de Mar;Públic;Sant Pol de Mar
08073031;Institut Neus Català;Públic;Cornellà de Llobregat
08073077;Institut Maria Canela;Públic;Martorell
08073089;Campanillas Montessori;Privat;Gavà
08073119;Institut Can Periquet;Públic;Palau-solità i Plegamans
08073171;Institut La Riera;Públic;Badalona
08073193;Institut Badia i Margarit;Públic;Igualada
08073211;Llar d'infants El Patinet;Públic;Sant Llorenç Savall
08073223;Escola Bressol El Molí;Públic;Sant Cugat del Vallès
08073235;Escola Bressol Municipal Xiroi;Públic;Barcelona
08073247;Escola Bressol Municipal L'Aliança;Públic;Barcelona
08073259;Escola Bressol Els Ocellets;Públic;Vilobí del Penedès
08073260;Escola Bressol El Molinet;Privat;Terrassa
08073272;Escola Bressol Municipal l'Ametller;Públic;L'Ametlla del Vallès
08073284;LLI privada Daina;Privat;Sant Boi de Llobregat
08073302;Escola Bressol Municipal Albí;Públic;Barcelona
08073314;Escola Bressol Municipal La Filadora;Públic;Barcelona
08073326;Escola Bressol dels Colors;Públic;Arenys de Mar
08073338;Escola Bressol Municipal Camp de l'Arpa;Públic;Barcelona
08073341;AESFORM;Privat;Sabadell
08073363;Triangle;Privat;Mataró
08073375;Escola Bressol La casa dels infants de Ca n'Aimeric;Públic;Castelldefels
08073387;LLI privada Picarol;Privat;Sant Boi de Llobregat
08073430;Taller de Música;Privat;Premià de Mar
08073454;Esc. de Música BCN Fusió;Privat;Barcelona
08073466;Esc. de Música Municipal de Sant Vicenç de Castellet;Públic;Sant Vicenç de Castellet
08073508;Fundació UAB;Privat;Cerdanyola del Vallès
08073511;Llar d'infants Petit Món;Privat;Barcelona
08073533;LLI privada Els Petitons;Privat;Castelldefels
08073545;FEDA Formación Empresarial Dual Alemana-Barcelona;Privat;Barcelona
08073569;CEV, Centre de Comunicació, Imatge i So;Privat;Barcelona
08073570;Llar d'infants Els Gotims;Públic;Castellví de la Marca
08073582;Llar d'infants de les Masies de Roda;Públic;Les Masies de Roda
08073594;EB privada El Núvol;Privat;Vilafranca del Penedès
08073600;Esc. de Música Virtèlia;Privat;Barcelona
08073624;Escola Bressol La Rialla;Privat;La Garriga
08073636;Waldorf Steiner;Privat;Barcelona
08073648;Escola de Dansa SDS;Privat;Cornellà de Llobregat
08073651;Institut Pic del Vent;Públic;Caldes de Montbui
08073661;Barcelona Vitae Les Corts;Privat;Barcelona
08073685;Esc. de Música Musics'son;Privat;Barcelona
08073697;Escola Bressol El Pla del Penedès;Públic;El Pla del Penedès
08073703;Llar d'infants Bressolvent;Públic;Manresa
